"","Group.1","Group.2","Group.3","x"
"158",2014,"February",2,501.294270833333
"159",2015,"February",2,576.378472222222
"160",2016,"February",2,600.385912698413
"161",2017,"February",2,608.313596491228
"162",2018,"February",2,700.551215277778
"163",2019,"February",2,436.354166666667
"164",2010,"January",2,425.458333333333
"165",2011,"January",2,416.973039215686
"166",2012,"January",2,304.298611111111
"167",2013,"January",2,598.242647058824
"168",2014,"January",2,585.541666666667
"169",2015,"January",2,476.774509803922
"170",2016,"January",2,530.803125
"171",2017,"January",2,389.425438596491
"172",2018,"January",2,589.91847826087
"173",2019,"January",2,522.727891156463
"174",2009,"July",2,636.627450980392
"175",2010,"July",2,731.625
"176",2011,"July",2,527.514705882353
"177",2012,"July",2,640.423611111111
"178",2013,"July",2,667.78431372549
"179",2014,"July",2,633.8359375
"180",2015,"July",2,629.145833333333
"181",2016,"July",2,603.171626984127
"182",2017,"July",2,560.167708333333
"183",2018,"July",2,575.948333333333
"184",2019,"July",2,552.124183006536
"185",2009,"June",2,627.835784313726
"186",2010,"June",2,615.215277777778
"187",2011,"June",2,656.117647058824
"188",2012,"June",2,510.074074074074
"189",2013,"June",2,404.367647058824
"190",2014,"June",2,562.558080808081
"191",2015,"June",2,537.539634146341
"192",2016,"June",2,630.396317829457
"193",2017,"June",2,685.382675438596
"194",2018,"June",2,592.114583333333
"195",2019,"June",2,364.317307692308
"196",2010,"March",2,676.490740740741
"197",2011,"March",2,724.372395833333
"198",2012,"March",2,847.75
"199",2013,"March",2,622.5625
"200",2014,"March",2,517.725806451613
"201",2015,"March",2,662.08912037037
"202",2016,"March",2,689.852736318408
"203",2017,"March",2,649.226495726496
"204",2018,"March",2,792.060763888889
"205",2019,"March",2,430.263333333333
"206",2009,"May",2,569.130555555556
"207",2010,"May",2,421.946759259259
"208",2011,"May",2,631.438725490196
"209",2012,"May",2,639.622685185185
"210",2013,"May",2,694.68287037037
"211",2014,"May",2,710.147988505747
"212",2015,"May",2,610.939692982456
"213",2016,"May",2,634.006944444444
"214",2017,"May",2,587.466216216216
"215",2018,"May",2,639.746527777778
"216",2019,"May",2,601.214869281046
"217",2009,"November",2,734.752314814815
"218",2010,"November",2,334.514705882353
"219",2011,"November",2,573.764705882353
"220",2012,"November",2,741.409722222222
"221",2013,"November",2,533.573611111111
"222",2014,"November",2,456.9375
"223",2015,"November",2,638.129273504274
"224",2016,"November",2,615.791666666667
"225",2017,"November",2,652.223731884058
"226",2018,"November",2,633.93545751634
"227",2009,"October",2,742.469907407407
"228",2010,"October",2,557.950980392157
"229",2011,"October",2,389.558823529412
"230",2012,"October",2,731.243055555556
"231",2013,"October",2,653.887345679012
"232",2014,"October",2,653.199494949495
"233",2015,"October",2,679.902083333333
"234",2016,"October",2,441.977173913043
"235",2017,"October",2,616.408143939394
"236",2018,"October",2,656.804487179487
"237",2009,"September",2,655.995098039216
"238",2010,"September",2,678.104060913706
"239",2011,"September",2,774.938725490196
"240",2012,"September",2,485.30787037037
"241",2013,"September",2,634.486111111111
"242",2014,"September",2,561.852272727273
"243",2015,"September",2,581.201041666667
"244",2016,"September",2,754.997916666667
"245",2017,"September",2,545.638211382114
"246",2018,"September",2,437.041666666667
"247",2010,"April",3,550.685185185185
"248",2011,"April",3,436.007352941176
"249",2012,"April",3,774.956018518518
"250",2013,"April",3,682.331018518518
"251",2014,"April",3,677.161290322581
"252",2015,"April",3,551.385416666667
"253",2016,"April",3,551.386904761905
"254",2017,"April",3,642.287393162393
"255",2018,"April",3,650.337585034014
"256",2019,"April",3,653.348639455782
"257",2009,"August",3,653.683823529412
"258",2010,"August",3,616.770833333333
"259",2011,"August",3,667.075980392157
"260",2012,"August",3,830.402777777778
"261",2013,"August",3,494.065104166667
"262",2014,"August",3,473.952777777778
"263",2015,"August",3,562.797008547009
"264",2016,"August",3,633.848577235772
"265",2017,"August",3,578.605769230769
"266",2018,"August",3,695.63141025641
"267",2009,"December",3,684.280092592593
"268",2010,"December",3,842.6796875
"269",2011,"December",3,555.414215686274
"270",2012,"December",3,675.180555555556
"271",2013,"December",3,642.783045977012
"272",2014,"December",3,628.126302083333
"273",2015,"December",3,696.403125
"274",2016,"December",3,644.116452991453
"275",2017,"December",3,427.239361702128
"276",2018,"December",3,587.582516339869
"277",2010,"February",3,592.043981481482
"278",2011,"February",3,638.21568627451
"279",2012,"February",3,798.664351851852
"280",2013,"February",3,465.261574074074
"281",2014,"February",3,531.328125
"282",2015,"February",3,600.952546296296
"283",2016,"February",3,596.992063492063
"284",2017,"February",3,675.464912280702
"285",2018,"February",3,589.262152777778
"286",2019,"February",3,323.974826388889
"287",2010,"January",3,390.944444444444
"288",2011,"January",3,369.593137254902
"289",2012,"January",3,514.099537037037
"290",2013,"January",3,553.933823529412
"291",2014,"January",3,603.479166666667
"292",2015,"January",3,368.385101010101
"293",2016,"January",3,469.919791666667
"294",2017,"January",3,580.49451754386
"295",2018,"January",3,624.766304347826
"296",2019,"January",3,517.563775510204
"297",2009,"July",3,727.078431372549
"298",2010,"July",3,509.131944444444
"299",2011,"July",3,395.59068627451
"300",2012,"July",3,697.414351851852
"301",2013,"July",3,688.808823529412
"302",2014,"July",3,637.9765625
"303",2015,"July",3,745.435416666667
"304",2016,"July",3,524.965277777778
"305",2017,"July",3,618.988247863248
"306",2018,"July",3,580.884166666667
"307",2019,"July",3,592.975490196078
"308",2009,"June",3,695.03431372549
"309",2010,"June",3,623.872685185185
