"","Time","count"
"1","Aug 2019",600.047672431572
"2","Sep 2019",560.985510224883
"3","Oct 2019",555.069857694613
"4","Nov 2019",559.247762010581
"5","Dec 2019",561.638960798322
"6","Jan 2020",566.300153949981
"7","Feb 2020",549.725969025303
"8","Mar 2020",528.550181001055
"9","Apr 2020",546.032430442464
"10","May 2020",532.138535098119
"11","Jun 2020",565.086801823025
"12","Jul 2020",541.863553432747
"13","Aug 2020",563.044709736995
"14","Sep 2020",546.841646904842
"15","Oct 2020",544.387822431244
"16","Nov 2020",546.120825478258
"17","Dec 2020",547.11269950696
"18","Jan 2021",549.046171727472
"19","Feb 2021",542.171166747656
"20","Mar 2021",533.387407619839
"21","Apr 2021",540.639079573199
"22","May 2021",534.875864059705
"23","Jun 2021",548.542870844021
"24","Jul 2021",538.909821070757
